Problem Name,|V|,|E|,Simple Randomized,Greedy,Semi-Greedy,Local Search Iteration,Local Search,GRASP Iteration,GRASP Best Value,Best Value
g1,800,19176,9531,11023,10130,81,10190,5,9807,11023
g2,800,19176,9566,11026,10088,74,10241,5,9926,11026
g3,800,19176,9533,11028,10126,65,10252,5,9771,11028
g4,800,19176,9622,11041,10017,70,10419,5,9928,11041
g5,800,19176,9527,11027,9992,84,10161,5,9848,11027
g6,800,19176,50,1548,990,125,1117,5,868,1548
g7,800,19176,-96,1422,932,184,1004,5,672,1422
g8,800,19176,-160,1392,774,118,959,5,719,1392
g9,800,19176,109,1441,831,125,883,5,796,1441
g10,800,19176,-77,1393,646,159,870,5,709,1393
g11,800,1600,8,436,328,106,380,5,238,436
g12,800,1600,-33,425,314,83,354,5,206,425
g13,800,1600,17,444,282,114,386,5,240,444
g14,800,4694,2386,2891,2616,62,2751,5,2572,2891
g15,800,4661,2299,2888,2597,66,2725,5,2508,2888
g16,800,4672,2347,2881,2685,50,2735,5,2501,2881
g17,800,4667,2375,2883,2635,67,2721,5,2500,2883
g18,800,4694,32,769,549,115,650,5,430,769
g19,800,4661,-219,682,532,97,543,5,365,682
g20,800,4672,-21,685,590,89,603,5,378,685
g21,800,4667,28,706,559,107,581,5,381,706
g22,2000,19990,9919,12369,10860,211,11202,5,10550,12369
g23,2000,19990,10043,12384,10969,230,11218,5,10486,12384
g24,2000,19990,9844,12387,10716,234,11107,5,10497,12387
g25,2000,19990,9903,12354,11035,200,11405,5,10466,12354
g26,2000,19990,10015,12383,10970,215,11451,5,10510,12383
g27,2000,19990,-12,2359,1478,376,1802,5,1197,2359
g28,2000,19990,-120,2344,1440,431,1804,5,1139,2344
g29,2000,19990,165,2402,1306,319,1705,5,1298,2402
g30,2000,19990,31,2411,1615,379,1887,5,1234,2411
g31,2000,19990,-57,2336,1234,328,1599,5,1232,2336
g32,2000,4000,3,1074,744,275,944,5,555,1074
g33,2000,4000,-87,1042,776,181,902,5,511,1042
g34,2000,4000,-23,1042,596,307,904,5,500,1042
g35,2000,11778,5909,7272,6617,161,6962,5,6330,7272
g36,2000,11766,5918,7261,6662,146,6903,5,6405,7261
g37,2000,11785,5905,7278,6688,143,6968,5,6338,7278
g38,2000,11779,5878,7261,6620,168,6865,5,6351,7261
g39,2000,11778,-68,1880,1286,340,1578,5,1012,1880
g40,2000,11766,-216,1834,1225,375,1558,5,946,1834
g41,2000,11785,7,1841,1306,345,1504,5,1016,1841
g42,2000,11779,53,1903,1428,176,1595,5,1076,1903
g43,1000,9990,5000,6175,5417,131,5696,5,5257,6175
g44,1000,9990,4966,6182,5473,123,5746,5,5275,6182
g45,1000,9990,4982,6165,5478,109,5732,5,5228,6165
g46,1000,9990,4959,6181,5394,109,5595,5,5230,6181
g47,1000,9990,4999,6179,5465,104,5654,5,5211,6179
g48,3000,6000,2975,4944,5784,7,5782,5,3549,5784
g49,3000,6000,3004,4948,5838,8,5842,5,3602,5842
g50,3000,6000,2999,4961,5546,11,5546,5,3682,5546
g51,1000,5909,2932,3647,3340,75,3476,5,3220,3647
g52,1000,5916,2954,3638,3350,80,3498,5,3202,3638
g53,1000,5914,2958,3639,3299,78,3394,5,3189,3639
g54,1000,5916,2948,3647,3299,82,3401,5,3157,3647
